s_m; a0; a1; a2; a3; b0; b1; b2; b3
0.1618190; 0.0158797; 0.1603319; -0.0004549; -0.0000226; -0.0996501; -0.0218611; -0.0033590; 0.0001482
0.1603190; 0.1757341; 0.1578800; -0.0005130; 0.0000016; -0.1247221; -0.0278743; -0.0028607; 0.0001582
0.1590055; 0.3331027; 0.1555760; -0.0004999; 0.0000163; -0.1552989; -0.0328504; -0.0023473; 0.0001609
0.1577857; 0.4881950; 0.1534406; -0.0004443; 0.0000295; -0.1903357; -0.0367784; -0.0018361; 0.0001628
0.1565851; 0.6412209; 0.1514804; -0.0003505; 0.0000390; -0.2287874; -0.0396585; -0.0013273; 0.0001641
0.1553487; 0.7923898; 0.1497060; -0.0002298; 0.0000455; -0.2696091; -0.0414909; -0.0008219; 0.0001661
0.1540421; 0.9419116; 0.1481270; -0.0000916; 0.0000488; -0.3117559; -0.0422780; -0.0003183; 0.0001695
0.1526518; 1.0899958; 0.1467535; 0.0000539; 0.0000489; -0.3541827; -0.0420233; 0.0001868; 0.0001747
0.1511863; 1.2368522; 0.1455960; 0.0001968; 0.0000454; -0.3958445; -0.0407307; 0.0006972; 0.0001816
0.1496770; 1.3826904; 0.1446655; 0.0003264; 0.0000378; -0.4356966; -0.0384041; 0.0012171; 0.0001897
0.1481795; 1.5277201; 0.1439744; 0.0004310; 0.0000254; -0.4726938; -0.0350458; 0.0017508; 0.0001977
0.1467751; 1.6721509; 0.1435362; 0.0004977; 0.0000078; -0.5057912; -0.0306573; 0.0022995; 0.0002051
0.1455711; 1.8161926; 0.1433654; 0.0005126; -0.0000158; -0.5339438; -0.0252335; 0.0028671; 0.0002034
0.1447017; 1.9600548; 0.1434764; 0.0004595; -0.0000436; -0.5561067; -0.0187755; 0.0034358; 0.0002114
0.1443213; 2.1039471; 0.1438808; 0.0003270; -0.0000798; -0.5712350; -0.0112396; 0.0040484; 0.0001387
0.1442455; 2.2480751; 0.1442177; 0.0000875; -0.0000930; -0.5782874; -0.0027251; 0.0044598; -0.0000006
0.1439383; 2.3922874; 0.1438064; -0.0001905; -0.0000958; -0.5765533; 0.0061796; 0.0044391; 0.0000346
0.1433659; 2.5358075; 0.1425675; -0.0004740; -0.0001049; -0.5659000; 0.0151012; 0.0045068; 0.0000385
0.1425657; 2.6777960; 0.1405143; -0.0007801; -0.0001167; -0.5462535; 0.0240949; 0.0045709; 0.0000482
0.1415906; 2.8174135; 0.1376537; -0.0011148; -0.0001319; -0.5175396; 0.0331522; 0.0046509; 0.0000523
0.1405088; 2.9538205; 0.1339941; -0.0014874; -0.0001496; -0.4796842; 0.0422845; 0.0047344; 0.0000522
0.1394058; 3.0861776; 0.1295423; -0.0019059; -0.0001689; -0.4326132; 0.0515011; 0.0048142; 0.0000455
0.1383851; 3.2136451; 0.1243036; -0.0023771; -0.0001879; -0.3762524; 0.0608157; 0.0048782; 0.0000307
0.1375685; 3.3353838; 0.1182800; -0.0029059; -0.0002038; -0.3105277; 0.0702451; 0.0049115; 0.0000061
0.1370956; 3.4505542; 0.1114686; -0.0034929; -0.0002132; -0.2353651; 0.0798084; 0.0048955; -0.0000291
0.1371215; 3.5583167; 0.1038594; -0.0041337; -0.0002104; -0.1506902; 0.0895261; 0.0048097; -0.0000747
0.1378121; 3.6578319; 0.0954359; -0.0048128; -0.0001946; -0.0564292; 0.0994165; 0.0046317; -0.0001267
0.1393367; 3.7482603; 0.0861673; -0.0055165; -0.0001485; 0.0474923; 0.1094953; 0.0043459; -0.0001852
0.1418606; 3.8287626; 0.0760402; -0.0061798; -0.0001238; 0.1611483; 0.1197601; 0.0039287; -0.0002241
0.1454913; 3.8984992; 0.0649308; -0.0068913; 0.0001304; 0.2846129; 0.1301968; 0.0034252; -0.0003319
0.1496619; 3.9566691; 0.0530209; -0.0068790; 0.0002667; 0.4179030; 0.1399620; 0.0025711; -0.0003026
0.1536359; 4.0030778; 0.0411297; -0.0064069; 0.0002124; 0.5601335; 0.1480356; 0.0017531; -0.0002207
0.1571260; 4.0380130; 0.0296122; -0.0060354; 0.0001862; 0.7097014; 0.1543142; 0.0011411; -0.0001728
0.1599259; 4.0617761; 0.0184232; -0.0056741; 0.0001430; 0.8649839; 0.1588646; 0.0006452; -0.0001356
0.1618877; 4.0746682; 0.0075963; -0.0053748; 0.0001010; 1.0243582; 0.1617115; 0.0002445; -0.0001129
0.1629091; 4.0769907; -0.0028684; -0.0051363; 0.0000587; 1.1862013; 0.1628852; -0.0000953; -0.0001008
0.1629254; 4.0690447; -0.0129662; -0.0049612; 0.0000142; 1.3488904; 0.1624095; -0.0003976; -0.0000995
0.1620365; 4.0511315; -0.0227213; -0.0048651; 0.0000004; 1.5108028; 0.1604357; -0.0006885; -0.0001015
0.1607784; 4.0235455; -0.0321985; -0.0047888; -0.0000064; 1.6704485; 0.1575213; -0.0009776; -0.0001048
0.1592903; 3.9865517; -0.0414084; -0.0047195; -0.0000157; 1.8268873; 0.1538138; -0.0012683; -0.0001118
0.1575815; 3.9404082; -0.0503481; -0.0046648; -0.0000226; 1.9793210; 0.1493214; -0.0015696; -0.0001215
0.1556747; 3.8853726; -0.0590220; -0.0046187; -0.0000290; 2.1269513; 0.1440516; -0.0018876; -0.0001354
0.1536061; 3.8217029; -0.0674373; -0.0045813; -0.0000275; 2.2689798; 0.1380097; -0.0022331; -0.0001480
0.1514280; 3.7496569; -0.0755935; -0.0045322; -0.0000389; 2.4046084; 0.1312096; -0.0026016; -0.0001776
0.1492634; 3.6694923; -0.0835619; -0.0045168; 0.0000710; 2.5330389; 0.1236788; -0.0030454; -0.0001165
0.1475880; 3.5814846; -0.0913462; -0.0042077; 0.0001167; 2.6535558; 0.1159237; -0.0033190; -0.0000673
0.1465413; 3.4860473; -0.0987081; -0.0038032; 0.0001229; 2.7660932; 0.1083118; -0.0034713; -0.0000432
0.1460322; 3.3836589; -0.1055796; -0.0034109; 0.0001296; 2.8708905; 0.1008896; -0.0035760; -0.0000150
0.1459653; 3.2747981; -0.1119631; -0.0030194; 0.0001281; 2.9681890; 0.0936511; -0.0036180; 0.0000078
0.1462466; 3.1599436; -0.1178464; -0.0026454; 0.0001225; 3.0582299; 0.0866066; -0.0036087; 0.0000267
0.1467856; 3.0395744; -0.1232241; -0.0022947; 0.0001137; 3.1412545; 0.0797635; -0.0035549; 0.0000409
0.1474972; 2.9141692; -0.1280927; -0.0019728; 0.0001031; 3.2175041; 0.0731305; -0.0034656; 0.0000509
0.1483030; 2.7842068; -0.1324506; -0.0016819; 0.0000917; 3.2872198; 0.0667153; -0.0033493; 0.0000571
0.1491315; 2.6501660; -0.1362983; -0.0014225; 0.0000804; 3.3506430; 0.0605252; -0.0032136; 0.0000603
0.1499189; 2.5125255; -0.1396371; -0.0011938; 0.0000696; 3.4080148; 0.0545660; -0.0030650; 0.0000608
0.1506080; 2.3717643; -0.1424690; -0.0009940; 0.0000598; 3.4595767; 0.0488424; -0.0029093; 0.0000600
0.1511484; 2.2283610; -0.1447966; -0.0008205; 0.0000506; 3.5055697; 0.0433591; -0.0027491; 0.0000555
0.1514956; 2.0827945; -0.1466230; -0.0006719; 0.0000440; 3.5462352; 0.0381152; -0.0025944; 0.0000585
0.1516221; 1.9355436; -0.1479590; -0.0005409; 0.0000303; 3.5818145; 0.0331296; -0.0024231; 0.0000190
0.1516605; 1.7870741; -0.1489878; -0.0004502; 0.0000253; 3.6125400; 0.0283477; -0.0023672; -0.0000030
0.1517250; 1.6376613; -0.1498760; -0.0003746; 0.0000260; 3.6385176; 0.0236144; -0.0023782; 0.0000029
0.1518154; 1.4874367; -0.1506372; -0.0002971; 0.0000253; 3.6597567; 0.0188781; -0.0023722; 0.0000021
0.1519295; 1.3365277; -0.1512691; -0.0002215; 0.0000250; 3.6762646; 0.0141504; -0.0023696; 0.0000030
0.1520650; 1.1850620; -0.1517725; -0.0001468; 0.0000246; 3.6880484; 0.0094286; -0.0023649; 0.0000033
0.1522203; 1.0331674; -0.1521473; -0.0000730; 0.0000243; 3.6951154; 0.0047134; -0.0023599; 0.0000037
0.1523937; 0.8809714; -0.1523938; 0.0000000; 0.0000241; 3.6974726; 0.0000048; -0.0023541; 0.0000040
0.1525842; 0.7286018; -0.1525120; 0.0000724; 0.0000238; 3.6951274; -0.0046971; -0.0023478; 0.0000044
0.1527909; 0.5761860; -0.1525020; 0.0001443; 0.0000236; 3.6880868; -0.0093924; -0.0023410; 0.0000047
0.1530133; 0.4238519; -0.1523641; 0.0002158; 0.0000234; 3.6763580; -0.0140809; -0.0023338; 0.0000050
0.1532512; 0.2717270; -0.1520983; 0.0002870; 0.0000234; 3.6599482; -0.0187627; -0.0023260; 0.0000052
0.1535046; 0.1199390; -0.1517048; 0.0003582; 0.0000231; 3.6388647; -0.0234380; -0.0023182; 0.0000060
0.1537741; -0.0313844; -0.1511839; 0.0004290; 0.0000236; 3.6131145; -0.0281056; -0.0023083; 0.0000043
0.1540603; -0.1821157; -0.1505346; 0.0005018; 0.0000213; 3.5827049; -0.0327701; -0.0023039; 0.0000121
0.1543341; -0.3321271; -0.1497321; 0.0005679; 0.0000379; 3.5476430; -0.0374078; -0.0022756; -0.0000458
0.1543681; -0.4812534; -0.1485143; 0.0006819; 0.0000507; 3.5079139; -0.0421053; -0.0024140; -0.0000653
0.1540874; -0.6290351; -0.1467299; 0.0008308; 0.0000596; 3.4633293; -0.0470431; -0.0026005; -0.0000662
0.1535391; -0.7748746; -0.1443724; 0.0010024; 0.0000714; 3.4136195; -0.0522555; -0.0027791; -0.0000706
0.1527789; -0.9181733; -0.1414479; 0.0012045; 0.0000842; 3.3585144; -0.0577375; -0.0029613; -0.0000720
0.1518711; -1.0583324; -0.1379595; 0.0014399; 0.0000985; 3.2977436; -0.0634957; -0.0031396; -0.0000713
0.1508893; -1.1947535; -0.1339107; 0.0017129; 0.0001134; 3.2310370; -0.0695353; -0.0033102; -0.0000671
0.1499178; -1.3268380; -0.1293043; 0.0020267; 0.0001284; 3.1581244; -0.0758640; -0.0034664; -0.0000585
0.1490513; -1.4539872; -0.1241414; 0.0023840; 0.0001421; 3.0787355; -0.0824910; -0.0035998; -0.0000445
0.1483956; -1.5756026; -0.1184213; 0.0027854; 0.0001529; 2.9926002; -0.0894270; -0.0037005; -0.0000245
0.1480662; -1.6910855; -0.1121397; 0.0032295; 0.0001582; 2.8994483; -0.0966840; -0.0037570; 0.0000022
0.1481868; -1.7998375; -0.1052892; 0.0037100; 0.0001568; 2.7990095; -0.1042738; -0.0037563; 0.0000343
0.1488856; -1.9012598; -0.0978559; 0.0042198; 0.0001420; 2.6910136; -0.1122080; -0.0036880; 0.0000728
0.1502917; -1.9947540; -0.0898291; 0.0047338; 0.0001279; 2.5751905; -0.1204905; -0.0035352; 0.0001051
0.1525264; -2.0797214; -0.0811661; 0.0052708; 0.0000528; 2.4512699; -0.1291364; -0.0033162; 0.0001665
0.1552706; -2.1555638; -0.0717353; 0.0056267; -0.0001212; 2.3189838; -0.1377059; -0.0029190; 0.0002308
0.1575156; -2.2217937; -0.0617274; 0.0054166; -0.0000715; 2.1785896; -0.1449219; -0.0022917; 0.0001713
0.1589971; -2.2781760; -0.0515903; 0.0053007; -0.0000453; 2.0315472; -0.1503960; -0.0018116; 0.0001443
0.1596201; -2.3245109; -0.0412864; 0.0052054; -0.0000068; 1.8794839; -0.1541897; -0.0013895; 0.0001224
0.1593292; -2.3605987; -0.0308397; 0.0051662; 0.0000326; 1.7240271; -0.1563165; -0.0010186; 0.0001121
0.1581043; -2.3862396; -0.0202525; 0.0051833; 0.0000750; 1.5668041; -0.1568017; -0.0006718; 0.0001116
0.1559601; -2.4012338; -0.0095297; 0.0052625; 0.0001195; 1.4094422; -0.1556679; -0.0003278; 0.0001223
0.1529480; -2.4053816; 0.0013275; 0.0054056; 0.0001653; 1.2535688; -0.1529407; 0.0000376; 0.0001456
0.1491620; -2.3984831; 0.0123215; 0.0056126; 0.0002103; 1.1008113; -0.1486498; 0.0004512; 0.0001843
0.1447484; -2.3803387; 0.0234609; 0.0058789; 0.0002504; 0.9527969; -0.1428311; 0.0009453; 0.0002419
0.1399196; -2.3507485; 0.0347670; 0.0061940; 0.0002747; 0.8111531; -0.1355261; 0.0015611; 0.0003190
0.1349728; -2.3095128; 0.0462775; 0.0065291; 0.0002744; 0.6775071; -0.1267852; 0.0023427; 0.0004217
0.1303101; -2.2564318; 0.0580720; 0.0068510; 0.0002031; 0.5534863; -0.1166431; 0.0033619; 0.0005130
0.1264576; -2.1913057; 0.0702295; 0.0070229; 0.0001185; 0.4407181; -0.1051556; 0.0046135; 0.0006538
0.1240719; -2.1139348; 0.0830239; 0.0071010; -0.0003362; 0.3408298; -0.0921829; 0.0063276; 0.0004070
0.1241793; -2.0241461; 0.0963123; 0.0061045; -0.0006404; 0.2553814; -0.0783840; 0.0075636; -0.0001396
0.1268252; -1.9223696; 0.1088970; 0.0043656; -0.0005237; 0.1844215; -0.0650475; 0.0074561; -0.0003240
0.1311833; -1.8096308; 0.1200691; 0.0029911; -0.0004095; 0.1265060; -0.0528743; 0.0069400; -0.0004439
0.1364804; -1.6869802; 0.1298832; 0.0019083; -0.0002797; 0.0801278; -0.0419610; 0.0060721; -0.0004594
0.1420978; -1.5554684; 0.1383442; 0.0011592; -0.0001810; 0.0437795; -0.0324823; 0.0050895; -0.0004327
0.1475712; -1.4161460; 0.1455274; 0.0006647; -0.0001098; 0.0159540; -0.0245122; 0.0040898; -0.0003875
0.1525685; -1.2700637; 0.1514963; 0.0003584; -0.0000631; -0.0048560; -0.0180886; 0.0031290; -0.0003422
0.1568613; -1.1182721; 0.1563058; 0.0001788; -0.0000341; -0.0201578; -0.0132193; 0.0022225; -0.0003041
0.1603016; -0.9618217; 0.1599970; 0.0000797; -0.0000182; -0.0314587; -0.0098991; 0.0013684; -0.0002765
0.1628040; -0.8017632; 0.1626021; 0.0000259; -0.0000120; -0.0402658; -0.0081165; 0.0005559; -0.0002601
0.1643351; -0.6391472; 0.1641470; -0.0000103; -0.0000138; -0.0480865; -0.0078582; -0.0002287; -0.0002546
0.1649075; -0.4750243; 0.1646550; -0.0000520; -0.0000238; -0.0564281; -0.0091109; -0.0009994; -0.0002593
0.1645782; -0.3104451; 0.1641482; -0.0001230; -0.0000404; -0.0667977; -0.0118636; -0.0017700; -0.0002713
0.1634511; -0.1464602; 0.1626552; -0.0002408; -0.0000744; -0.0807026; -0.0161061; -0.0025485; -0.0002929
